Date,Year,Model,Revenue,Quantity Sold,Region,Country,Channel
05/10/2019,2019,BMW X3,411331,7,North America,United States,Dealership
03/09/2019,2019,BMW X5,650139,8,North America,United States,Wholesale
27/02/2019,2019,BMW 5 Series,67453,1,North America,United States,Wholesale
30/10/2019,2019,BMW X3,491115,10,North America,United States,Dealership
25/05/2019,2019,BMW X2,157813,4,North America,United States,Dealership
09/03/2019,2019,BMW X1,262226,6,North America,United States,Dealership
03/06/2019,2019,BMW X5,683531,9,North America,United States,Dealership
22/03/2019,2019,BMW X5,1000936,13,North America,United States,Dealership
14/01/2019,2019,BMW 5 Series,312421,5,North America,United States,Wholesale
05/07/2019,2019,BMW X7,483175,6,North America,United States,Dealership
15/06/2019,2019,BMW X3,671875,13,North America,United States,Wholesale
01/02/2019,2019,BMW X7,730384,8,North America,United States,Dealership
29/03/2019,2019,BMW 5 Series,277796,5,North America,United States,Wholesale
09/12/2019,2019,BMW X5,498845,8,North America,United States,Wholesale
21/05/2019,2019,BMW 4 Series,431660,7,North America,United States,Dealership
10/07/2019,2019,BMW X3,272328,5,North America,United States,Wholesale
17/08/2019,2019,BMW X1,148664,4,North America,United States,Wholesale
16/02/2019,2019,BMW i3,45881,1,North America,United States,Dealership
06/07/2019,2019,BMW 5 Series,220846,3,North America,United States,Wholesale
30/12/2019,2019,BMW 2 Series,200744,4,North America,United States,Dealership
25/07/2019,2019,BMW X7,434301,5,North America,United States,Dealership
29/06/2019,2019,BMW M8,262330,2,North America,United States,Dealership
28/05/2019,2019,BMW 3 Series,386721,7,North America,United States,Dealership
19/07/2019,2019,BMW M2,132341,2,North America,United States,Wholesale
26/02/2019,2019,BMW X5,549049,7,North America,United States,Dealership
03/03/2019,2019,BMW 4 Series,192535,4,North America,United States,Dealership
07/12/2019,2019,BMW 4 Series,367914,8,North America,United States,Wholesale
01/06/2019,2019,BMW 4 Series,393196,7,North America,United States,Dealership
10/03/2019,2019,BMW 5 Series,612170,9,North America,United States,Dealership
13/12/2019,2019,BMW X5,676230,8,North America,United States,Dealership
09/10/2019,2019,BMW X5,483354,6,North America,United States,Dealership
26/05/2019,2019,BMW 4 Series,271561,6,North America,United States,Wholesale
11/08/2019,2019,BMW 3 Series,317661,6,North America,United States,Wholesale
08/02/2019,2019,BMW M4,182038,2,North America,United States,Wholesale
17/01/2019,2019,BMW 3 Series,329876,6,North America,United States,Wholesale
05/01/2019,2019,BMW X7,170794,2,North America,United States,Dealership
25/03/2019,2019,BMW X3,509500,9,North America,United States,Dealership
03/10/2019,2019,BMW X3,341067,6,North America,United States,Wholesale
30/04/2019,2019,BMW 8 Series,339365,3,North America,United States,Dealership
24/09/2019,2019,BMW X5,239572,3,North America,United States,Dealership
07/05/2019,2019,BMW M3,79722,1,North America,United States,Wholesale
01/09/2019,2019,BMW 5 Series,319806,5,North America,United States,Dealership
25/04/2019,2019,BMW X5,1176651,14,North America,United States,Wholesale
22/12/2019,2019,BMW X3,427051,8,North America,United States,Dealership
23/12/2019,2019,BMW X5,1046292,14,North America,United States,Dealership
24/09/2019,2019,BMW M5,212878,2,North America,United States,Dealership
03/07/2019,2019,BMW 4 Series,227997,4,North America,United States,Wholesale
12/10/2019,2019,BMW X1,205565,5,North America,United States,Dealership
04/11/2019,2019,BMW 4 Series,237461,5,North America,United States,Dealership
28/08/2019,2019,BMW X3,440497,8,North America,United States,Dealership
20/03/2019,2019,BMW 5 Series,339216,5,North America,United States,Dealership
11/07/2019,2019,BMW X2,88858,2,North America,United States,Wholesale
03/09/2019,2019,BMW X6,171810,2,North America,United States,Dealership
11/12/2019,2019,BMW M2,133090,2,North America,United States,Wholesale
11/05/2019,2019,BMW M8,145831,1,North America,United States,Online
23/03/2019,2019,BMW X5,535333,7,North America,United States,Wholesale
20/05/2019,2019,BMW 4 Series,384533,7,North America,United States,Wholesale
28/12/2019,2019,BMW X5,957316,14,North America,United States,Dealership
15/10/2019,2019,BMW 4 Series,219689,4,North America,United States,Dealership
04/11/2019,2019,BMW Z4,164632,3,North America,United States,Dealership
22/06/2019,2019,BMW X5,286331,4,North America,United States,Dealership
24/10/2019,2019,BMW M3,149934,2,North America,United States,Dealership
16/02/2019,2019,BMW X6,286440,4,North America,United States,Dealership
24/06/2019,2019,BMW X3,476710,9,North America,United States,Dealership
16/07/2019,2019,BMW X3,510832,9,North America,United States,Dealership
16/03/2019,2019,BMW 5 Series,579303,8,North America,United States,Dealership
14/09/2019,2019,BMW X3,443471,9,North America,United States,Dealership
01/01/2019,2019,BMW X3,59133,1,North America,United States,Dealership
04/12/2019,2019,BMW 7 Series,374145,4,North America,United States,Wholesale
02/07/2019,2019,BMW X7,598417,6,North America,United States,Wholesale
18/02/2019,2019,BMW X7,566511,6,North America,United States,Wholesale
10/03/2019,2019,BMW 3 Series,272692,5,North America,United States,Dealership
16/03/2019,2019,BMW X7,103637,1,North America,United States,Dealership
28/10/2019,2019,BMW M3,179281,2,North America,United States,Dealership
08/11/2019,2019,BMW X3,147247,3,North America,United States,Dealership
13/07/2019,2019,BMW X5,349752,5,North America,United States,Wholesale
22/02/2019,2019,BMW 4 Series,244028,5,North America,United States,Wholesale
08/10/2019,2019,BMW X3,204770,4,North America,United States,Dealership
03/09/2019,2019,BMW X1,227965,5,North America,United States,Wholesale
09/11/2019,2019,BMW X5,644341,8,North America,United States,Wholesale
05/08/2019,2019,BMW X5,472015,7,North America,United States,Wholesale
26/02/2019,2019,BMW 3 Series,277555,5,North America,United States,Wholesale
23/02/2019,2019,BMW X5,280582,4,North America,United States,Dealership
20/07/2019,2019,BMW X5,732027,9,North America,United States,Dealership
27/09/2019,2019,BMW 3 Series,142460,3,North America,United States,Dealership
25/09/2019,2019,BMW X3,747838,13,North America,United States,Dealership
07/12/2019,2019,BMW X7,441134,5,North America,United States,Dealership
25/02/2019,2019,BMW X2,38323,1,North America,United States,Dealership
17/04/2019,2019,BMW X3,418447,9,North America,United States,Wholesale
25/09/2019,2019,BMW X5,664801,8,North America,United States,Dealership
29/08/2019,2019,BMW iX3,199101,3,North America,United States,Wholesale
10/08/2019,2019,BMW 3 Series,314949,7,North America,United States,Dealership
04/01/2019,2019,BMW 4 Series,147363,3,North America,United States,Dealership
07/06/2019,2019,BMW X7,606601,7,North America,United States,Dealership
14/08/2019,2019,BMW X3,380284,7,North America,United States,Dealership
26/08/2019,2019,BMW X5,1043493,13,North America,United States,Dealership
27/12/2019,2019,BMW 2 Series,170145,4,North America,United States,Wholesale
01/02/2019,2019,BMW i3,132307,3,North America,United States,Dealership
16/11/2019,2019,BMW X6,258036,3,North America,United States,Wholesale
13/05/2019,2019,BMW X4,399155,6,North America,United States,Dealership
07/02/2019,2019,BMW X7,270608,3,North America,United States,Wholesale
04/06/2019,2019,BMW X2,80038,2,North America,United States,Wholesale
11/05/2019,2019,BMW X3,586721,12,North America,United States,Dealership
30/03/2019,2019,BMW 4 Series,334841,7,North America,United States,Wholesale
11/07/2019,2019,BMW 3 Series,436941,8,North America,United States,Dealership
17/05/2019,2019,BMW X3,718860,12,North America,United States,Dealership
21/04/2019,2019,BMW 7 Series,380398,4,North America,United States,Dealership
11/05/2019,2019,BMW 7 Series,542929,6,North America,United States,Dealership
31/10/2019,2019,BMW 3 Series,206338,4,North America,United States,Wholesale
31/08/2019,2019,BMW M2,128638,2,North America,United States,Wholesale
09/08/2019,2019,BMW X2,44949,1,North America,United States,Dealership
16/12/2019,2019,BMW 2 Series,355320,7,North America,United States,Wholesale
10/12/2019,2019,BMW X5,699437,11,North America,United States,Dealership
09/09/2019,2019,BMW X5,397712,6,North America,United States,Wholesale
01/06/2019,2019,BMW X3,342060,7,North America,United States,Wholesale
19/05/2019,2019,BMW X3,552632,10,North America,United States,Dealership
16/10/2019,2019,BMW 4 Series,242761,4,North America,United States,Dealership
02/11/2019,2019,BMW 4 Series,242067,4,North America,United States,Dealership
09/04/2019,2019,BMW X7,394574,5,North America,United States,Dealership
28/11/2019,2019,BMW X6,241093,3,North America,United States,Wholesale
08/04/2019,2019,BMW 4 Series,238523,4,North America,United States,Dealership
05/07/2019,2019,BMW X5,359081,5,North America,United States,Wholesale
16/01/2019,2019,BMW X3,102843,2,North America,United States,Wholesale
31/01/2019,2019,BMW X7,369722,4,North America,United States,Dealership
08/03/2019,2019,BMW 3 Series,359287,8,North America,United States,Wholesale
21/10/2019,2019,BMW M5,250037,2,North America,United States,Wholesale
24/07/2019,2019,BMW X4,262168,5,North America,United States,Dealership
08/11/2019,2019,BMW X3,384282,8,North America,United States,Wholesale
21/02/2019,2019,BMW X3,294803,6,North America,United States,Wholesale
12/11/2019,2019,BMW 2 Series,235678,6,North America,United States,Dealership
20/07/2019,2019,BMW 8 Series,175986,2,North America,United States,Dealership
20/03/2019,2019,BMW X5,829444,10,North America,United States,Wholesale
15/02/2019,2019,BMW X3,440280,8,North America,United States,Dealership
03/06/2019,2019,BMW X7,207216,2,North America,United States,Wholesale
26/10/2019,2019,BMW X5,507981,6,North America,United States,Dealership
09/02/2019,2019,BMW X5,702661,9,North America,United States,Dealership
06/06/2019,2019,BMW X3,417352,8,North America,United States,Dealership
02/02/2019,2019,BMW X2,131657,3,North America,United States,Wholesale
16/02/2019,2019,BMW 3 Series,242420,5,North America,United States,Dealership
22/05/2019,2019,BMW 5 Series,244518,4,North America,United States,Wholesale
01/09/2019,2019,BMW X3,287888,6,North America,United States,Wholesale
17/12/2019,2019,BMW 4 Series,122593,2,North America,United States,Dealership
08/03/2019,2019,BMW X5,317849,5,North America,United States,Wholesale
20/04/2019,2019,BMW 4 Series,366829,6,North America,United States,Dealership
06/06/2019,2019,BMW M5,351282,3,North America,United States,Dealership
22/03/2019,2019,BMW 3 Series,286419,5,North America,United States,Dealership
11/02/2019,2019,BMW X7,349194,4,North America,United States,Dealership
29/11/2019,2019,BMW 4 Series,117849,2,North America,United States,Wholesale
05/06/2019,2019,BMW X1,148948,4,North America,United States,Dealership
11/01/2019,2019,BMW 7 Series,292216,3,North America,United States,Dealership
04/08/2019,2019,BMW 2 Series,192578,4,North America,United States,Wholesale
30/08/2019,2019,BMW X7,580294,6,North America,United States,Dealership
27/10/2019,2019,BMW X1,282618,6,North America,United States,Dealership
09/10/2019,2019,BMW 3 Series,345222,6,North America,United States,Wholesale
20/04/2019,2019,BMW 4 Series,263687,5,North America,United States,Dealership
26/08/2019,2019,BMW X7,407580,4,North America,United States,Dealership
18/07/2019,2019,BMW 4 Series,602044,11,North America,United States,Wholesale
16/06/2019,2019,BMW 3 Series,292974,6,North America,United States,Wholesale
08/03/2019,2019,BMW 4 Series,494686,8,North America,United States,Dealership
02/02/2019,2019,BMW X5,452145,6,North America,United States,Dealership
28/09/2019,2019,BMW 4 Series,215531,4,North America,United States,Wholesale
29/08/2019,2019,BMW X5,314841,5,North America,United States,Dealership
20/09/2019,2019,BMW i3,39381,1,North America,United States,Wholesale
11/10/2019,2019,BMW X3,549544,9,North America,United States,Dealership
11/09/2019,2019,BMW X7,523808,5,North America,United States,Dealership
22/06/2019,2019,BMW M4,151469,2,North America,United States,Wholesale
28/05/2019,2019,BMW X4,186229,3,North America,United States,Dealership
27/04/2019,2019,BMW 3 Series,100488,2,North America,United States,Dealership
25/03/2019,2019,BMW i8,304978,2,North America,United States,Dealership
20/09/2019,2019,BMW 3 Series,224157,4,North America,United States,Dealership
04/09/2019,2019,BMW X5,671840,8,North America,United States,Wholesale
05/08/2019,2019,BMW 7 Series,319014,3,North America,United States,Dealership
28/05/2019,2019,BMW X3,427439,8,North America,United States,Dealership
20/12/2019,2019,BMW X3,483286,8,North America,United States,Dealership
01/08/2019,2019,BMW X1,324617,7,North America,United States,Wholesale
03/08/2019,2019,BMW 3 Series,318957,6,North America,United States,Wholesale
21/06/2019,2019,BMW X7,575976,7,North America,United States,Wholesale
01/03/2019,2019,BMW 2 Series,144072,4,North America,United States,Dealership
06/12/2019,2019,BMW 5 Series,356652,6,North America,United States,Dealership
17/09/2019,2019,BMW X3,316080,7,North America,United States,Wholesale
22/03/2019,2019,BMW X5,372246,5,North America,United States,Wholesale
21/12/2019,2019,BMW X3,415379,9,North America,United States,Dealership
07/06/2019,2019,BMW 5 Series,478730,7,North America,United States,Dealership
22/11/2019,2019,BMW X7,471983,6,North America,United States,Dealership
08/03/2019,2019,BMW X3,339696,6,North America,United States,Dealership
10/04/2019,2019,BMW X3,500724,10,North America,United States,Wholesale
23/04/2019,2019,BMW X6,284608,4,North America,United States,Wholesale
21/08/2019,2019,BMW M2,145721,2,North America,United States,Wholesale
27/05/2019,2019,BMW 5 Series,435224,7,North America,United States,Dealership
19/02/2019,2019,BMW 5 Series,253905,4,North America,United States,Wholesale
18/08/2019,2019,BMW 4 Series,240770,5,North America,United States,Wholesale
03/11/2019,2019,BMW X6,261369,3,North America,United States,Dealership
12/10/2019,2019,BMW X2,78822,2,North America,United States,Dealership
09/07/2019,2019,BMW X5,299374,4,North America,United States,Dealership
08/06/2019,2019,BMW X5,694963,10,North America,United States,Dealership
31/01/2019,2019,BMW 4 Series,362070,7,North America,United States,Wholesale
12/11/2019,2019,BMW 5 Series,289649,4,North America,United States,Wholesale
28/11/2019,2019,BMW X2,76673,2,North America,United States,Dealership
20/06/2019,2019,BMW X5,601542,9,North America,United States,Dealership
23/02/2019,2019,BMW X6,267542,3,North America,United States,Dealership
16/10/2019,2019,BMW X4,171461,3,North America,United States,Wholesale
18/10/2019,2019,BMW X5,518856,8,North America,United States,Wholesale
15/09/2019,2019,BMW X7,472747,5,North America,United States,Dealership
07/08/2019,2019,BMW M4,261735,3,North America,United States,Dealership
22/04/2019,2019,BMW X1,274845,6,North America,United States,Dealership
09/09/2019,2019,BMW X7,318518,4,North America,United States,Dealership
01/03/2019,2019,BMW X5,556539,8,North America,United States,Dealership
20/07/2019,2019,BMW 5 Series,338867,5,North America,United States,Wholesale
06/08/2019,2019,BMW X3,640628,12,North America,United States,Dealership
29/06/2019,2019,BMW 4 Series,358564,6,North America,United States,Wholesale
29/04/2019,2019,BMW 5 Series,125913,2,North America,United States,Dealership
29/08/2019,2019,BMW i3,80281,2,North America,United States,Wholesale
11/02/2019,2019,BMW 3 Series,338468,6,North America,United States,Dealership
01/03/2019,2019,BMW X3,689555,12,North America,United States,Dealership
29/07/2019,2019,BMW 5 Series,483707,8,North America,United States,Wholesale
14/05/2019,2019,BMW X5,246082,3,North America,United States,Dealership
29/09/2019,2019,BMW 3 Series,257436,5,North America,United States,Dealership
29/09/2019,2019,BMW 4 Series,303169,6,North America,United States,Wholesale
27/07/2019,2019,BMW X5,269590,4,North America,United States,Wholesale
10/10/2019,2019,BMW 4 Series,210562,4,North America,United States,Dealership
13/09/2019,2019,BMW M5,218381,2,North America,United States,Dealership
27/05/2019,2019,BMW 5 Series,588243,8,North America,United States,Dealership
11/12/2019,2019,BMW 2 Series,188954,5,North America,United States,Dealership
06/05/2019,2019,BMW X5,604513,9,North America,United States,Dealership
18/01/2019,2019,BMW X5,377238,5,North America,United States,Wholesale
27/02/2019,2019,BMW 4 Series,161608,3,North America,United States,Dealership
22/07/2019,2019,BMW 3 Series,265780,6,North America,United States,Wholesale
18/08/2019,2019,BMW 5 Series,351551,6,North America,United States,Dealership
03/02/2019,2019,BMW M2,72572,1,North America,United States,Wholesale
17/02/2019,2019,BMW X1,257084,6,North America,United States,Dealership
30/04/2019,2019,BMW M3,165622,2,North America,United States,Wholesale
04/05/2019,2019,BMW X4,271962,4,North America,United States,Dealership
16/09/2019,2019,BMW M8,156123,1,North America,United States,Wholesale
27/09/2019,2019,BMW 3 Series,236163,5,North America,United States,Wholesale
21/02/2019,2019,BMW 7 Series,487650,4,North America,United States,Dealership
23/08/2019,2019,BMW 7 Series,230417,2,North America,United States,Wholesale
22/03/2019,2019,BMW 3 Series,355432,7,North America,United States,Dealership
12/03/2019,2019,BMW 3 Series,223476,5,North America,United States,Wholesale
10/09/2019,2019,BMW 5 Series,337372,5,North America,United States,Wholesale
26/12/2019,2019,BMW X4,279685,5,North America,United States,Dealership
26/07/2019,2019,BMW 4 Series,173091,3,North America,United States,Wholesale
27/05/2019,2019,BMW 3 Series,345123,8,North America,United States,Wholesale
29/03/2019,2019,BMW X1,191829,5,North America,United States,Dealership
16/04/2019,2019,BMW X5,917190,11,North America,United States,Dealership
16/10/2019,2019,BMW X7,584257,6,North America,United States,Dealership
25/10/2019,2019,BMW M8,155782,1,North America,United States,Wholesale
21/08/2019,2019,BMW X5,525337,7,North America,United States,Dealership
21/04/2019,2019,BMW M2,121302,2,North America,United States,Wholesale
25/07/2019,2019,BMW M5,376439,3,North America,United States,Wholesale
27/09/2019,2019,BMW X3,237111,4,North America,United States,Wholesale
11/10/2019,2019,BMW X3,582689,10,North America,United States,Dealership
13/12/2019,2019,BMW iX,207432,2,North America,United States,Dealership
04/01/2019,2019,BMW X7,507350,5,North America,United States,Dealership
18/06/2019,2019,BMW 3 Series,135897,3,North America,United States,Wholesale
02/09/2019,2019,BMW X3,308962,5,North America,United States,Dealership
15/03/2019,2019,BMW X1,354474,8,North America,United States,Online
17/03/2019,2019,BMW X5,471959,6,North America,United States,Dealership
09/04/2019,2019,BMW X3,518202,10,North America,United States,Dealership
19/07/2019,2019,BMW X3,630252,12,North America,United States,Wholesale
02/12/2019,2019,BMW X1,172455,4,North America,United States,Wholesale
02/10/2019,2019,BMW X3,434120,9,North America,United States,Dealership
25/06/2019,2019,BMW X3,405366,8,North America,United States,Dealership
11/05/2019,2019,BMW X5,612833,8,North America,United States,Wholesale
04/10/2019,2019,BMW X5,129512,2,North America,United States,Wholesale
16/04/2019,2019,BMW X5,478067,6,North America,United States,Dealership
24/04/2019,2019,BMW X1,278257,6,North America,United States,Wholesale
07/04/2019,2019,BMW 3 Series,172039,4,North America,United States,Dealership
18/02/2019,2019,BMW X3,155246,3,North America,United States,Dealership
03/07/2019,2019,BMW X7,616941,6,North America,United States,Dealership
02/05/2019,2019,BMW i3,78657,2,North America,United States,Wholesale
16/06/2019,2019,BMW 2 Series,194562,4,North America,United States,Dealership
17/05/2019,2019,BMW X5,629642,9,North America,United States,Wholesale
20/09/2019,2019,BMW X7,326313,4,North America,United States,Wholesale
23/01/2019,2019,BMW M3,173707,2,North America,United States,Wholesale
31/05/2019,2019,BMW X5,589123,8,North America,United States,Dealership
17/12/2019,2019,BMW X5,576870,8,North America,United States,Dealership
10/11/2019,2019,BMW X7,191111,2,North America,United States,Dealership
25/03/2019,2019,BMW X5,509292,6,North America,United States,Dealership
09/09/2019,2019,BMW X1,194351,5,North America,United States,Dealership
14/03/2019,2019,BMW X5,442300,6,North America,United States,Online
03/07/2019,2019,BMW 7 Series,409001,4,North America,United States,Wholesale
01/07/2019,2019,BMW 3 Series,143652,3,North America,United States,Dealership
30/05/2019,2019,BMW X4,202263,3,North America,United States,Dealership
26/05/2019,2019,BMW X5,698961,9,North America,United States,Dealership
22/05/2019,2019,BMW X7,676099,8,North America,United States,Wholesale
13/04/2019,2019,BMW 7 Series,432700,4,North America,United States,Wholesale
05/10/2019,2019,BMW X5,409436,5,North America,United States,Dealership
05/03/2019,2019,BMW X1,284961,7,North America,United States,Wholesale
08/01/2019,2019,BMW X5,484781,7,North America,United States,Wholesale
18/01/2019,2019,BMW 4 Series,233119,4,North America,United States,Wholesale
23/08/2019,2019,BMW 3 Series,246010,5,North America,United States,Dealership
20/07/2019,2019,BMW 8 Series,346696,4,North America,United States,Dealership
09/01/2019,2019,BMW 5 Series,367245,5,North America,United States,Dealership
29/04/2019,2019,BMW X5,424033,5,North America,United States,Wholesale
23/03/2019,2019,BMW M4,82097,1,North America,United States,Dealership
17/06/2019,2019,BMW 3 Series,415957,8,North America,United States,Dealership
19/01/2019,2019,BMW X5,304581,4,North America,United States,Wholesale
13/10/2019,2019,BMW X7,417837,4,North America,United States,Wholesale
08/12/2019,2019,BMW X7,651669,8,North America,United States,Dealership
12/07/2019,2019,BMW M3,79909,1,North America,United States,Wholesale
23/04/2019,2019,BMW M4,88520,1,North America,United States,Dealership
01/05/2019,2019,BMW X5,328893,4,North America,United States,Dealership
04/05/2019,2019,BMW 3 Series,364296,8,North America,United States,Wholesale
02/07/2019,2019,BMW 5 Series,202607,3,North America,United States,Online
02/02/2019,2019,BMW M4,155269,2,North America,United States,Wholesale
27/03/2019,2019,BMW 7 Series,446758,4,North America,United States,Dealership
22/06/2019,2019,BMW 3 Series,310976,7,North America,United States,Dealership
15/09/2019,2019,BMW X7,391260,5,North America,United States,Dealership
04/01/2019,2019,BMW 5 Series,114562,2,North America,United States,Dealership
15/11/2019,2019,BMW 7 Series,687837,6,North America,United States,Dealership
14/09/2019,2019,BMW X3,431286,8,North America,United States,Wholesale
06/12/2019,2019,BMW X4,384601,6,North America,United States,Wholesale
14/03/2019,2019,BMW 4 Series,329841,7,North America,United States,Dealership
12/10/2019,2019,BMW X7,383609,4,North America,United States,Dealership
19/10/2019,2019,BMW X5,395030,6,North America,United States,Dealership
20/01/2019,2019,BMW X3,343787,6,North America,United States,Dealership
02/04/2019,2019,BMW X3,458977,10,North America,United States,Dealership
12/03/2019,2019,BMW X7,400403,5,North America,United States,Dealership
19/10/2019,2019,BMW X3,485673,10,North America,United States,Wholesale
16/04/2019,2019,BMW 3 Series,191771,4,North America,United States,Dealership
27/11/2019,2019,BMW 7 Series,636623,5,North America,United States,Wholesale
20/04/2019,2019,BMW 4 Series,259842,5,North America,United States,Wholesale
06/09/2019,2019,BMW X3,439937,8,North America,United States,Dealership
02/02/2019,2019,BMW X3,269037,5,North America,United States,Dealership
20/10/2019,2019,BMW M4,250779,3,North America,United States,Wholesale
01/05/2019,2019,BMW X4,179183,3,North America,United States,Dealership
19/07/2019,2019,BMW X5,807605,11,North America,United States,Dealership
29/06/2019,2019,BMW 5 Series,406792,7,North America,United States,Wholesale
18/04/2019,2019,BMW X1,110482,3,North America,United States,Dealership
13/12/2019,2019,BMW X3,443180,9,North America,United States,Dealership
20/10/2019,2019,BMW 5 Series,364322,5,North America,United States,Dealership
15/08/2019,2019,BMW 3 Series,242888,5,North America,United States,Dealership
16/02/2019,2019,BMW X2,44128,1,North America,United States,Dealership
30/05/2019,2019,BMW 8 Series,427420,4,North America,United States,Dealership
12/05/2019,2019,BMW M8,303509,2,North America,United States,Dealership
30/03/2019,2019,BMW X3,279062,6,North America,United States,Wholesale
29/08/2019,2019,BMW 3 Series,387709,8,North America,United States,Dealership
06/01/2019,2019,BMW X6,176652,2,North America,United States,Dealership
02/06/2019,2019,BMW X5,602731,9,North America,United States,Dealership
03/03/2019,2019,BMW 2 Series,132600,3,North America,United States,Wholesale
01/03/2019,2019,BMW 4 Series,242116,5,North America,United States,Dealership
04/04/2019,2019,BMW X5,525738,8,North America,United States,Dealership
22/08/2019,2019,BMW M5,123768,1,North America,United States,Dealership
03/08/2019,2019,BMW 3 Series,249825,5,North America,United States,Dealership
10/09/2019,2019,BMW X1,283955,7,North America,United States,Wholesale
27/08/2019,2019,BMW M2,71893,1,North America,United States,Dealership
01/07/2019,2019,BMW X7,443456,5,North America,United States,Wholesale
26/10/2019,2019,BMW 3 Series,329477,7,North America,United States,Wholesale
08/02/2019,2019,BMW X2,149357,3,North America,United States,Dealership
04/08/2019,2019,BMW X5,622825,9,North America,United States,Wholesale
22/03/2019,2019,BMW Z4,128930,2,North America,United States,Dealership
20/07/2019,2019,BMW Z4,158962,3,North America,United States,Wholesale
27/07/2019,2019,BMW 4 Series,510090,9,North America,United States,Dealership
23/04/2019,2019,BMW X5,506337,6,North America,United States,Dealership
25/06/2019,2019,BMW X3,187531,4,North America,United States,Wholesale
08/02/2019,2019,BMW i3,37561,1,North America,United States,Wholesale
06/10/2019,2019,BMW 8 Series,549602,5,North America,United States,Wholesale
24/05/2019,2019,BMW X5,506506,7,North America,United States,Wholesale
25/06/2019,2019,BMW X1,184389,4,North America,United States,Dealership
31/03/2019,2019,BMW M8,279506,2,North America,United States,Wholesale
13/07/2019,2019,BMW X5,408410,5,North America,United States,Dealership
12/07/2019,2019,BMW X4,227540,4,North America,United States,Dealership
25/05/2019,2019,BMW X5,1001296,13,North America,United States,Wholesale
11/07/2019,2019,BMW 2 Series,160658,4,North America,United States,Wholesale
29/07/2019,2019,BMW X1,298655,8,North America,United States,Dealership
26/04/2019,2019,BMW 4 Series,61606,1,North America,United States,Dealership
14/09/2019,2019,BMW 4 Series,403049,7,North America,United States,Wholesale
23/09/2019,2019,BMW X3,555215,9,North America,United States,Wholesale
24/12/2019,2019,BMW 3 Series,353660,7,North America,United States,Wholesale
03/08/2019,2019,BMW 4 Series,118034,2,North America,United States,Dealership
28/09/2019,2019,BMW X3,368771,8,North America,United States,Wholesale
15/06/2019,2019,BMW 8 Series,569911,6,North America,United States,Dealership
23/02/2019,2019,BMW X3,323187,6,North America,United States,Dealership
10/03/2019,2019,BMW X4,261074,4,North America,United States,Wholesale
28/07/2019,2019,BMW 3 Series,259892,6,North America,United States,Wholesale
13/09/2019,2019,BMW 4 Series,276603,5,North America,United States,Wholesale
01/03/2019,2019,BMW X7,673845,7,North America,United States,Dealership
28/12/2019,2019,BMW X3,493802,8,North America,United States,Dealership
03/06/2019,2019,BMW 4 Series,90099,2,North America,United States,Dealership
10/11/2019,2019,BMW X7,450813,5,North America,United States,Dealership
30/03/2019,2019,BMW X7,171157,2,North America,United States,Dealership
29/06/2019,2019,BMW 3 Series,409222,8,North America,United States,Dealership
18/09/2019,2019,BMW X3,353302,6,North America,United States,Dealership
20/05/2019,2019,BMW 7 Series,364747,4,North America,United States,Wholesale
14/11/2019,2019,BMW X5,833768,10,North America,United States,Dealership
